1 - 2                  EXTRA CORSA
2 - 4                  ALT E BOTTONIERA MANUTENZIONE
4 - 5                  INTER FOSSA
5 - 6                  ALT CABINA
6 - 7                  PARACADUTE
7 - 8                  PRELIMINARI
8 - 9                  PORTE CABINA
9 - 10                 BLOCCHI

GND - MA - MB          DEVIATORE MANUTENZIONE
GND - UP, GND - DW     PULSANTI ISPEZIONE
CB                     COMUNE CHIAMATE CABINA
CE                     COMUNE CHIAMATE ESTERNE
CE-0, CE-1...          CHIAMATE ESTERNE (SU PERIFERICA)
CB-0, CB-1...          CHIAMATE DI CABINA (SU PERIFERICA)
GND - FCD              BISTABILE FINE CORSA DISCESA
GND - FCS              BISTABILE FINE CORSA SALITA
GND - ID               INDUTTORE (NO) CONTEGGIO E FERMATA DISCESA
GND - IS               INDUTTORE (NO) CONTEGGIO E FERMATA SALITA
GND - FM               FONDO MOBILE
GND - PA               PULSANTE APERTURA PORTE
GND - SVR              CONTATTO SOVRACCARICO
GND - CM1              COSTOLA MOBILE - FOTOCELLULA LATO 1
GND - CM2              COSTOLA MOBILE - FOTOCELLULA LATO 2
CFC - FA1              CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC - FC1              CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC - FA2              CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC - FC2              CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL-0, CL-1...          SEGNALAZIONE POSIZIONE (SU PERIFERICA)
CL - FS                SEGNALAZIONE FRECCIA SALITA
CL - FD                SEGNALAZIONE FRECCIA DISCESA
CL - SV                SEGNALAZIONE SOVRACCARICO
CL - GON               SEGNALAZIONE GONG IN CABINA
CL - OCC               SEGNALAZIONE OCCUPATO
PE                     RITORNO PRESENTE
